name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
深圳普门科技股份有限公司, 5, 6.3205, 国信证券股份有限公司, 中瑞世联资产评估（北京）有限公司, 天健会计师事务所（特殊普通合伙）, 上海众华资产评估有限公司, 北京市中伦律师事务所
杭州鸿泉物联网技术股份有限公司, 5, 5.8208, 天健会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 东方花旗证券有限公司, 坤元资产评估有限公司
杭州安恒信息技术股份有限公司, 5, 7.6013, 立信会计师事务所（特殊普通合伙）, 天津中联资产评估有限责任公司, 国泰君安证券股份有限公司, 国浩律师（杭州）事务所
龙岩卓越新能源股份有限公司, 5, 7.36, 致同会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 英大证券有限责任公司
中国电器科学研究院股份有限公司, 5, 9.0888, 北京中天华资产评估有限责任公司, 中联资产评估集团有限公司, 北京金诚同达律师事务所, 中信建投证券股份有限公司, 安永华明会计师事务所（特殊普通合伙）
天津久日新材料股份有限公司, 5, 13.9542, 天津华夏金信资产评估有限公司, 大华会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 招商证券股份有限公司
博瑞生物医药（苏州）股份有限公司, 5, 3.5955, 北京市竞天公诚律师事务所, 江苏中天资产评估事务所有限公司, 民生证券股份有限公司, 江苏公证天业会计师事务所（特殊普通合伙）
山东奥福环保科技股份有限公司, 5, 5.7691, 安信证券股份有限公司, 江苏世纪同仁律师事务所, 华普天健会计师事务所（特殊普通合伙）
宁波长阳科技股份有限公司, 5, 5.2937, 江苏金证通资产评估房地产估价有限公司, 立信会计师事务所（特殊普通合伙）, 华安证券股份有限公司, 国浩律师（上海）事务所
上海美迪西生物医药股份有限公司, 5, 3.4691, 北京金诚同达律师事务所, 广发证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海申威资产评估有限公司
上海昊海生物科技股份有限公司, 5, 14.8413, 安永华明会计师事务所（特殊普通合伙）, 瑞银证券有限责任公司, 上海东洲资产评估有限公司, 上海市锦天城律师事务所
北京致远互联软件股份有限公司, 5, 3.4937, 中德证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 北京市君合律师事务所
北京宝兰德软件股份有限公司, 5, 2.8428, 东兴证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 国浩律师（北京）事务所
深圳市杰普特光电股份有限公司, 5, 9.7276, 北京中同华资产评估有限公司, 中国国际金融股份有限公司, 北京金诚同达律师事务所, 瑞华会计师事务所（特殊普通合伙）
华熙生物科技股份有限公司, 5, 31.5438, 北京市通商律师事务所, 华泰联合证券有限责任公司, 中联资产评估集团有限公司, 致同会计师事务所（特殊普通合伙）
赛诺医疗科学技术股份有限公司, 5, 2.67, 中信证券股份有限公司, 开元资产评估有限公司, 北京市中伦律师事务所, 立信会计师事务所（特殊普通合伙）
上海泰坦科技股份有限公司, 8, 4.15, 北京卓信大华资产评估有限公司, 大信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 光大证券股份有限公司
申联生物医药（上海）股份有限公司, 5, 4.5, 大华会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 湖北众联资产评估有限公司, 国信证券股份有限公司
青岛海尔生物医疗股份有限公司, 5, 10, 北京市金杜律师事务所, 安永华明会计师事务所（特殊普通合伙）, 国泰君安证券股份有限公司, 青岛天和资产评估有限责任公司
光通天下网络科技股份有限公司, 8, 8.0018, 坤元资产评估有限公司, 国浩律师（上海）事务所, 申万宏源证券承销保荐有限责任公司, 天健会计师事务所（特殊普通合伙）
北京连山科技股份有限公司, 8, 4.6, 光大证券股份有限公司, 北京天圆全会计师事务所（特殊普通合伙）, 北京国枫律师事务所
上海晶丰明源半导体股份有限公司, 5, 7.102, 国浩律师（杭州）事务所, 立信会计师事务所（特殊普通合伙）, 广发证券股份有限公司, 上海申威资产评估有限公司
深圳传音控股股份有限公司, 5, 30.11, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所
北京国科环宇科技股份有限公司, 8, 3.3213, 北京市君合律师事务所, 瑞华会计师事务所（特殊普通合伙）, 北京中同华资产评估有限公司, 中泰证券股份有限公司
北京热景生物技术股份有限公司, 5, 2.8782, 中水致远资产评估有限公司, 北京市康达律师事务所, 华普天健会计师事务所（特殊普通合伙）, 中德证券有限责任公司
山石网科通信技术股份有限公司, 5, 8.944, 中国国际金融股份有限公司, 北京市金杜律师事务所, 致同会计师事务所（特殊普通合伙）, 北京天健兴业资产评估有限公司
恒安嘉新（北京）科技股份公司, 5, 8, 北京市康达律师事务所, 北京北方亚事资产评估事务所（特殊普通合伙）, 中信建投证券股份有限公司, 大华会计师事务所（特殊普通合伙）
江苏天奈科技股份有限公司, 5, 8.7, 坤元资产评估有限公司, 民生证券股份有限公司, 北京市中伦律师事务所, 天健会计师事务所（特殊普通合伙）
视联动力信息技术股份有限公司, 8, 18.3015, 中联资产评估集团有限公司, 毕马威华振会计师事务所（特殊普通合伙）, 中信建投证券股份有限公司, 北京中企华资产评估有限责任公司, 北京国枫律师事务所
成都苑东生物制药股份有限公司, 8, 11.13, 中信证券股份有限公司, 天源资产评估有限公司, 北京国枫律师事务所, 中汇会计师事务所（特殊普通合伙）
上海新数网络科技股份有限公司, 8, 2.5088, 普华永道中天会计师事务所（特殊普通合伙）, 上海众华资产评估有限公司, 天风证券股份有限公司, 上海市通力律师事务所
北京安博通科技股份有限公司, 5, 2.9774, 大信会计师事务所（特殊普通合伙）, 中威正信（北京）资产评估有限公司, 天风证券股份有限公司, 国浩律师（北京）事务所
深圳市贝斯达医疗股份有限公司, 8, 3.38, 北京观韬中茂律师事务所, 福建联合中和资产评估土地房地产估价有限公司, 天职国际会计师事务所（特殊普通合伙）, 东兴证券股份有限公司
北京海天瑞声科技股份有限公司, 8, 7.2542, 亚洲(北京)资产评估有限公司, 华泰联合证券有限责任公司, 瑞华会计师事务所（特殊普通合伙）, 北京市天元律师事务所
北京诺康达医药科技股份有限公司, 8, 4.3739, 德邦证券股份有限公司, 华普天健会计师事务所（特殊普通合伙）, 中水致远资产评估有限公司, 北京国枫律师事务所
和舰芯片制造（苏州）股份有限公司, 8, 25, 大华会计师事务所（特殊普通合伙）, 长江证券承销保荐有限公司, 北京海润天睿律师事务所, 中和资产评估有限公司
深圳微芯生物科技股份有限公司, 5, 8.035, 毕马威华振会计师事务所（特殊普通合伙）, 上海市通力律师事务所, 北京天圆开资产评估有限公司, 安信证券股份有限公司
晶晨半导体（上海）股份有限公司, 5, 15.143, 安永华明会计师事务所（特殊普通合伙）, 上海申威资产评估有限公司, 国泰君安证券股份有限公司, 北京市君合律师事务所
上海柏楚电子科技股份有限公司, 5, 8.3537, 中信证券股份有限公司, 北京市天元律师事务所, 上海财瑞资产评估有限公司, 立信会计师事务所（特殊普通合伙）
北京木瓜移动科技股份有限公司, 8, 11.7586, 中天国富证券有限公司, 立信会计师事务所（特殊普通合伙）, 开元资产评估有限公司, 北京市康达律师事务所
交控科技股份有限公司, 5, 5.5, 立信会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 中国国际金融股份有限公司
北京航天宏图信息技术股份有限公司, 5, 5.667, 北京德恒律师事务所, 致同会计师事务所（特殊普通合伙）, 北京国融兴华资产评估有限责任公司, 国信证券股份有限公司
广东嘉元科技股份有限公司, 5, 9.6941, 立信会计师事务所（特殊普通合伙）, 东兴证券股份有限公司, 广东信达律师事务所, 中联国际评估咨询有限公司
北京沃尔德金刚石工具股份有限公司, 5, 4.0729, 天健会计师事务所（特殊普通合伙）, 北京北方亚事资产评估事务所（特殊普通合伙）, 中信建投证券股份有限公司, 北京市中伦律师事务所
广州方邦电子股份有限公司, 5, 10.5819, 天健会计师事务所（特殊普通合伙）, 广东信达律师事务所, 华泰联合证券有限责任公司, 广东中广信资产评估有限公司
